checklist_area,report_reference,episodes,coverage,notes
1.1 Full inertia matrix M(q) explicit,"Sec 1.2 Eq eq:Mfull",01,Full,"3x3 matrix with symmetry"
1.2 Coriolis matrix explicit,"Sec 1.2 Eq eq:Cfull",01,Full,"Non-zero entries listed"
1.3 Gravity vector complete,"Sec 1.2 Eq eq:Gvec",01,Full,"Includes G1=0"
1.4 Nonlinear coupling cross-check,"Sec 1.2 discussion",01,Full,"Coupling term rationale"
1.5 Upright linearization,"Sec 1.2 note; Sec 1.4",01,Full,"Numerical FD linearization"
1.6 Units consistency,"Sec 1.3",01,Full,"SI units"
2.1 Sliding surface rationale,"Sec 2.1",02,Full,"Linear vs alternatives"
2.2 Eigenvalue conditions,"Sec 2.1 Eq eq:stability_cond",02,Full,"lambda_i>0,k_i>0"
2.3 Relative degree,"Sec 2.1",02,Full,"Relative degree 1"
2.4 Matching condition,"Sec 2.1",02,Full,"Matched disturbance assumption"
3.1 Equivalent control derivation,"Sec 2.2.1 Eq eq:ueq",03,Full,"Stepwise derivation"
3.2 STA finite-time bound,"Sec 4.2",03;05,Partial,"No closed-form DIP bound"
3.3 Adaptive leak/dead-zone,"Sec 2.2.3",03,Full,"delta_leak and dz rationale"
3.4 Hybrid instability analysis,"Sec 2.2.4",03,Partial,"Qualitative mechanism"
3.5 Saturation definition,"Sec 2.2.1 Eq eq:sat",03,Full,"Piecewise sat"
4.1 Np justification,"Sec 3.1",04,Full,"Heuristic rationale"
4.2 w c1 c2 justification,"Sec 3.1",04,Full,"Literature defaults"
4.3 PSO convergence,"Sec 3.1 notes",04,Full,"Plateau by 150-180"
4.4 Stopping criterion,"Sec 3.1 notes",04,Full,"Fixed 200 iterations"
4.5 Normalization thresholds,"Sec 3.2",04,Full,"Scale calibration"
4.6 Instability penalty,"Sec 3.2",04,Full,"Penalty dominance"
4.7 Scenario split rationale,"Sec 3.4",04,Full,"3+4+8 with limitation"
5.1 beta eta values,"Sec 4.1",05,Full,"Symbolic/state dependent"
5.2 STA conditions,"Sec 4.2 Eq eq:sta_conditions",05,Full,"Moreno-Osorio conditions"
5.3 96.2 percent explanation,"Sec 4.1",05,Full,"3.8 percent explanation"
5.4 ISS constants,"Sec 4.4",05,Full,"alpha terms interpretation"
5.5 Zeno proof,"Sec 4.5",05,Partial,"Claim with limited formal detail"
6.1 IC distribution,"Sec 5.1",06,Full,"Uniform ranges"
6.2 Failure criterion,"Sec 5.1",06,Full,"2 percent band for 1 second"
6.3 4-controller scope,"Sec 5.1",06,Full,"Exclusion rationale"
6.4 Seed reproducibility,"Sec 5.1",06,Full,"Seed gap documented"
6.5 Energy metric discrepancy,"Sec 5.5",06,Full,"N^2 s vs Joules"
7.1 Normality handling,"Sec 5.1",07,Full,"Welch rationale"
7.2 Multiple comparisons,"Sec 5.1",07,Full,"No Bonferroni with note"
7.3 Cohen d formula,"Sec 5.1",07,Full,"Pooled SD"
7.4 Bootstrap size,"Sec 5.1",07,Full,"10000 resamples"
8.1 Epsilon sweep granularity,"Sec 6",08,Full,"3-point sweep limitation"
8.2 66.5 to 3.7 correction,"Sec 6",08,Full,"Transient artifact explained"
8.3 MT-6 model fidelity,"Sec 6",08,Full,"Full nonlinear model"
9.1 Mismatch tolerance definition,"Sec 7.1",09,Full,"Largest stable perturbation"
9.2 Uncertainty application mode,"Sec 7.1",09,Full,"Simultaneous perturbation"
9.3 Worst-case combo,"Sec 7.1",09,Partial,"Not fully isolated"
10.1 Literature comparison,"Missing dedicated section",11,Partial,"Planned addition"
10.2 Sim-to-real gap,"Missing dedicated section",11,Partial,"Planned addition"
10.3 Computational complexity,"Sec 1.4 rough estimate",11,Partial,"Needs per-controller timing"
10.4 QW-2 baseline IC,"Not explicit",11,Partial,"Should add explicit vector"
10.5 Figure references,"Sec 8.2 list",11,Partial,"Needs in-body callouts"
10.6 Future work,"No dedicated section",11,Partial,"Roadmap exists but not section"
11.1 Chattering metric mismatch,"Sec 5.3",10,Full,"Disambiguation added"
11.2 Adaptive tolerance vs K bounds,"Sec 4.3 and 7.1",10,Full,"Interpretation provided"
11.3 epsilon operational vs study,"Sec 2.2.1 and 6",10,Full,"Clarified"
